Id;Art;Lehrkraftkürzel;Fach;Kurs;Raum;Wochentag;Stunde;Woche;Klassen
11_dense_rowspan_grid-0;Stunde;lernsys;Ch;1-;RM11-0;1;1+2;;1
11_dense_rowspan_grid-1;Stunde;lernsys;Ge;1-;RM11-1;1;3;;1
11_dense_rowspan_grid-2;Stunde;lernsys;M;1-;RM11-2;1;4+5;;1
11_dense_rowspan_grid-3;Stunde;lernsys;D;1-;RM11-3;2;1+2;;1
11_dense_rowspan_grid-4;Stunde;lernsys;Ku;1-;RM11-4;2;3;;1
11_dense_rowspan_grid-5;Stunde;lernsys;Mu;1-;RM11-5;2;4+5;;1
11_dense_rowspan_grid-6;Stunde;lernsys;E;1-;RM11-6;3;1+2;;1
11_dense_rowspan_grid-7;Stunde;lernsys;M;1-;RM11-7;3;3;;1
11_dense_rowspan_grid-8;Stunde;lernsys;Ph;1-;RM11-8;3;4+5;;1
11_dense_rowspan_grid-9;Stunde;lernsys;Ge;1-;RM11-9;4;1+2;;1
11_dense_rowspan_grid-10;Stunde;lernsys;Mu;1-;RM11-10;4;3;;1
11_dense_rowspan_grid-11;Stunde;lernsys;Sp;1-;RM11-11;4;4+5;;1
11_dense_rowspan_grid-12;Stunde;lernsys;Ku;1-;RM11-12;5;1+2;;1
11_dense_rowspan_grid-13;Stunde;lernsys;Ph;1-;RM11-13;5;3;;1
11_dense_rowspan_grid-14;Stunde;lernsys;Bio;1-;RM11-14;5;4+5;;1
