Id;Art;Lehrkraftkürzel;Fach;Kurs;Raum;Wochentag;Stunde;Woche;Klassen
16_all_days_all_hours_sparse-0;Stunde;lernsys;D;1-M;RM16-0;1;1;;1
16_all_days_all_hours_sparse-1;Stunde;lernsys;Ge;2-D;RM16-1;1;3;;1
16_all_days_all_hours_sparse-2;Stunde;lernsys;M;3-;RM16-2;1;5;;1
16_all_days_all_hours_sparse-3;Stunde;lernsys;Ph;3-M;RM16-3;1;7;;1
16_all_days_all_hours_sparse-4;Stunde;lernsys;Bio;4S-D;RM16-4;1;9;;1
16_all_days_all_hours_sparse-5;Stunde;lernsys;D;G1-;RM16-5;1;11;;1
16_all_days_all_hours_sparse-6;Stunde;lernsys;E;2-;RM16-6;2;1;;1
16_all_days_all_hours_sparse-7;Stunde;lernsys;Ku;2-M;RM16-7;2;3;;1
16_all_days_all_hours_sparse-8;Stunde;lernsys;Mu;3-D;RM16-8;2;5;;1
16_all_days_all_hours_sparse-9;Stunde;lernsys;Sp;4S-;RM16-9;2;7;;1
16_all_days_all_hours_sparse-10;Stunde;lernsys;Ch;4S-M;RM16-10;2;9;;1
16_all_days_all_hours_sparse-11;Stunde;lernsys;E;G1-D;RM16-11;2;11;;1
16_all_days_all_hours_sparse-12;Stunde;lernsys;Ge;2-D;RM16-12;3;1;;1
16_all_days_all_hours_sparse-13;Stunde;lernsys;M;3-;RM16-13;3;3;;1
16_all_days_all_hours_sparse-14;Stunde;lernsys;Ph;3-M;RM16-14;3;5;;1
16_all_days_all_hours_sparse-15;Stunde;lernsys;Bio;4S-D;RM16-15;3;7;;1
16_all_days_all_hours_sparse-16;Stunde;lernsys;D;G1-;RM16-16;3;9;;1
16_all_days_all_hours_sparse-17;Stunde;lernsys;Ge;G1-M;RM16-17;3;11;;1
16_all_days_all_hours_sparse-18;Stunde;lernsys;Ku;2-M;RM16-18;4;1;;1
16_all_days_all_hours_sparse-19;Stunde;lernsys;Mu;3-D;RM16-19;4;3;;1
16_all_days_all_hours_sparse-20;Stunde;lernsys;Sp;4S-;RM16-20;4;5;;1
16_all_days_all_hours_sparse-21;Stunde;lernsys;Ch;4S-M;RM16-21;4;7;;1
16_all_days_all_hours_sparse-22;Stunde;lernsys;E;G1-D;RM16-22;4;9;;1
16_all_days_all_hours_sparse-23;Stunde;lernsys;Ku;G2-;RM16-23;4;11;;1
16_all_days_all_hours_sparse-24;Stunde;lernsys;M;3-;RM16-24;5;1;;1
16_all_days_all_hours_sparse-25;Stunde;lernsys;Ph;3-M;RM16-25;5;3;;1
16_all_days_all_hours_sparse-26;Stunde;lernsys;Bio;4S-D;RM16-26;5;5;;1
16_all_days_all_hours_sparse-27;Stunde;lernsys;D;G1-;RM16-27;5;7;;1
16_all_days_all_hours_sparse-28;Stunde;lernsys;Ge;G1-M;RM16-28;5;9;;1
16_all_days_all_hours_sparse-29;Stunde;lernsys;M;G2-D;RM16-29;5;11;;1
