Id;Art;Lehrkraftkürzel;Fach;Kurs;Raum;Wochentag;Stunde;Woche;Klassen
17_two_classes_parallel-0;Stunde;lernsys;Bio;1-;RM17-0;1;1+2;;1
17_two_classes_parallel-1;Stunde;lernsys;Ch;1-D;RM17-1;1;1+2;;2
17_two_classes_parallel-2;Stunde;lernsys;D;1-M;RM17-2;1;3;;1
17_two_classes_parallel-3;Stunde;lernsys;E;2-;RM17-3;1;3;;2
17_two_classes_parallel-4;Stunde;lernsys;Bio;1-;RM17-4;2;1+2;;1
17_two_classes_parallel-5;Stunde;lernsys;Ch;1-D;RM17-5;2;1+2;;2
17_two_classes_parallel-6;Stunde;lernsys;D;1-M;RM17-6;2;3;;1
17_two_classes_parallel-7;Stunde;lernsys;E;2-;RM17-7;2;3;;2
17_two_classes_parallel-8;Stunde;lernsys;Bio;1-;RM17-8;3;1+2;;1
17_two_classes_parallel-9;Stunde;lernsys;Ch;1-D;RM17-9;3;1+2;;2
17_two_classes_parallel-10;Stunde;lernsys;D;1-M;RM17-10;3;3;;1
17_two_classes_parallel-11;Stunde;lernsys;E;2-;RM17-11;3;3;;2
17_two_classes_parallel-12;Stunde;lernsys;Bio;1-;RM17-12;4;1+2;;1
17_two_classes_parallel-13;Stunde;lernsys;Ch;1-D;RM17-13;4;1+2;;2
17_two_classes_parallel-14;Stunde;lernsys;D;1-M;RM17-14;4;3;;1
17_two_classes_parallel-15;Stunde;lernsys;E;2-;RM17-15;4;3;;2
17_two_classes_parallel-16;Stunde;lernsys;Bio;1-;RM17-16;5;1+2;;1
17_two_classes_parallel-17;Stunde;lernsys;Ch;1-D;RM17-17;5;1+2;;2
17_two_classes_parallel-18;Stunde;lernsys;D;1-M;RM17-18;5;3;;1
17_two_classes_parallel-19;Stunde;lernsys;E;2-;RM17-19;5;3;;2
