Id;Art;Lehrkraftkürzel;Fach;Kurs;Raum;Wochentag;Stunde;Woche;Klassen
23_pause_before_each_hour-0;Pausenaufsicht;lernsys;;;RM23-0;1;2;;1
23_pause_before_each_hour-1;Pausenaufsicht;lernsys;;;RM23-1;1;3;;1
23_pause_before_each_hour-2;Pausenaufsicht;lernsys;;;RM23-2;1;4;;1
23_pause_before_each_hour-3;Pausenaufsicht;lernsys;;;RM23-3;1;5;;1
23_pause_before_each_hour-4;Pausenaufsicht;lernsys;;;RM23-4;1;6;;1
23_pause_before_each_hour-5;Stunde;lernsys;Ch;1-;RM23-5;1;1;;1
23_pause_before_each_hour-6;Stunde;lernsys;D;1-;RM23-6;1;2;;1
23_pause_before_each_hour-7;Stunde;lernsys;E;1-;RM23-7;1;3;;1
23_pause_before_each_hour-8;Stunde;lernsys;Ge;1-;RM23-8;1;4;;1
23_pause_before_each_hour-9;Stunde;lernsys;Ku;1-;RM23-9;1;5;;1
23_pause_before_each_hour-10;Stunde;lernsys;M;1-;RM23-10;1;6;;1
