Id;Art;Lehrkraftkürzel;Fach;Kurs;Raum;Wochentag;Stunde;Woche;Klassen
24_full_grid_mon_fri-0;Stunde;lernsys;Ge;1-M;RM24-0;1;1;;1
24_full_grid_mon_fri-1;Stunde;lernsys;Ku;2-;RM24-1;1;2;;1
24_full_grid_mon_fri-2;Stunde;lernsys;M;2-D;RM24-2;1;3;;1
24_full_grid_mon_fri-3;Stunde;lernsys;Mu;2-M;RM24-3;1;4;;1
24_full_grid_mon_fri-4;Stunde;lernsys;Ph;3-;RM24-4;1;5;;1
24_full_grid_mon_fri-5;Stunde;lernsys;Sp;3-D;RM24-5;1;6;;1
24_full_grid_mon_fri-6;Stunde;lernsys;Bio;3-M;RM24-6;1;7;;1
24_full_grid_mon_fri-7;Stunde;lernsys;Ch;4S-;RM24-7;1;8;;1
24_full_grid_mon_fri-8;Stunde;lernsys;D;4S-D;RM24-8;1;9;;1
24_full_grid_mon_fri-9;Stunde;lernsys;E;4S-M;RM24-9;1;10;;1
24_full_grid_mon_fri-10;Stunde;lernsys;Ge;G1-;RM24-10;1;11;;1
24_full_grid_mon_fri-11;Stunde;lernsys;Mu;2-;RM24-11;2;1;;1
24_full_grid_mon_fri-12;Stunde;lernsys;Ph;2-D;RM24-12;2;2;;1
24_full_grid_mon_fri-13;Stunde;lernsys;Sp;2-M;RM24-13;2;3;;1
24_full_grid_mon_fri-14;Stunde;lernsys;Bio;3-;RM24-14;2;4;;1
24_full_grid_mon_fri-15;Stunde;lernsys;Ch;3-D;RM24-15;2;5;;1
24_full_grid_mon_fri-16;Stunde;lernsys;D;3-M;RM24-16;2;6;;1
24_full_grid_mon_fri-17;Stunde;lernsys;E;4S-;RM24-17;2;7;;1
24_full_grid_mon_fri-18;Stunde;lernsys;Ge;4S-D;RM24-18;2;8;;1
24_full_grid_mon_fri-19;Stunde;lernsys;Ku;4S-M;RM24-19;2;9;;1
24_full_grid_mon_fri-20;Stunde;lernsys;M;G1-;RM24-20;2;10;;1
24_full_grid_mon_fri-21;Stunde;lernsys;Mu;G1-D;RM24-21;2;11;;1
24_full_grid_mon_fri-22;Stunde;lernsys;Bio;2-D;RM24-22;3;1;;1
24_full_grid_mon_fri-23;Stunde;lernsys;Ch;2-M;RM24-23;3;2;;1
24_full_grid_mon_fri-24;Stunde;lernsys;D;3-;RM24-24;3;3;;1
24_full_grid_mon_fri-25;Stunde;lernsys;E;3-D;RM24-25;3;4;;1
24_full_grid_mon_fri-26;Stunde;lernsys;Ge;3-M;RM24-26;3;5;;1
24_full_grid_mon_fri-27;Stunde;lernsys;Ku;4S-;RM24-27;3;6;;1
24_full_grid_mon_fri-28;Stunde;lernsys;M;4S-D;RM24-28;3;7;;1
24_full_grid_mon_fri-29;Stunde;lernsys;Mu;4S-M;RM24-29;3;8;;1
24_full_grid_mon_fri-30;Stunde;lernsys;Ph;G1-;RM24-30;3;9;;1
24_full_grid_mon_fri-31;Stunde;lernsys;Sp;G1-D;RM24-31;3;10;;1
24_full_grid_mon_fri-32;Stunde;lernsys;Bio;G1-M;RM24-32;3;11;;1
24_full_grid_mon_fri-33;Stunde;lernsys;E;2-M;RM24-33;4;1;;1
24_full_grid_mon_fri-34;Stunde;lernsys;Ge;3-;RM24-34;4;2;;1
24_full_grid_mon_fri-35;Stunde;lernsys;Ku;3-D;RM24-35;4;3;;1
24_full_grid_mon_fri-36;Stunde;lernsys;M;3-M;RM24-36;4;4;;1
24_full_grid_mon_fri-37;Stunde;lernsys;Mu;4S-;RM24-37;4;5;;1
24_full_grid_mon_fri-38;Stunde;lernsys;Ph;4S-D;RM24-38;4;6;;1
24_full_grid_mon_fri-39;Stunde;lernsys;Sp;4S-M;RM24-39;4;7;;1
24_full_grid_mon_fri-40;Stunde;lernsys;Bio;G1-;RM24-40;4;8;;1
24_full_grid_mon_fri-41;Stunde;lernsys;Ch;G1-D;RM24-41;4;9;;1
24_full_grid_mon_fri-42;Stunde;lernsys;D;G1-M;RM24-42;4;10;;1
24_full_grid_mon_fri-43;Stunde;lernsys;E;G2-;RM24-43;4;11;;1
24_full_grid_mon_fri-44;Stunde;lernsys;M;3-;RM24-44;5;1;;1
24_full_grid_mon_fri-45;Stunde;lernsys;Mu;3-D;RM24-45;5;2;;1
24_full_grid_mon_fri-46;Stunde;lernsys;Ph;3-M;RM24-46;5;3;;1
24_full_grid_mon_fri-47;Stunde;lernsys;Sp;4S-;RM24-47;5;4;;1
24_full_grid_mon_fri-48;Stunde;lernsys;Bio;4S-D;RM24-48;5;5;;1
24_full_grid_mon_fri-49;Stunde;lernsys;Ch;4S-M;RM24-49;5;6;;1
24_full_grid_mon_fri-50;Stunde;lernsys;D;G1-;RM24-50;5;7;;1
24_full_grid_mon_fri-51;Stunde;lernsys;E;G1-D;RM24-51;5;8;;1
24_full_grid_mon_fri-52;Stunde;lernsys;Ge;G1-M;RM24-52;5;9;;1
24_full_grid_mon_fri-53;Stunde;lernsys;Ku;G2-;RM24-53;5;10;;1
24_full_grid_mon_fri-54;Stunde;lernsys;M;G2-D;RM24-54;5;11;;1
